;id;scientific.name;accepted.name;family;taxon.rank;taxon.status;search.str;threat.status.cnc;threat.status.mma;threat.status.mma2022;life.form;habitat;vegetation.type;vernacular.name;occurrence;establishment;domain;endemism
528;5255;Baccharis subdentata DC.;NA;Asteraceae;species;accepted;Baccharis subdentata;NA;NA;NA;Subshrub;Terrestrial;Campo de Altitude|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica;Non Endemic
529;126595;Baccharis subopposita DC.;NA;Asteraceae;species;accepted;Baccharis subopposita;NA;NA;NA;Shrub|Subshrub;Rupicolous|Terrestrial;Campo Limpo|Vegetacao Sobre Afloramentos Rochosos;NA;BR-RS;native;Pampa;Non Endemic
530;5256;Baccharis tarchonanthoides DC.;NA;Asteraceae;species;accepted;Baccharis tarchonanthoides;NA;NA;NA;Shrub;Rupicolous|Terrestrial;Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos;carrasco-do-campo/PORTUGUES/NA;BR-BA|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Endemic
531;5257;Baccharis tridentata Vahl;NA;Asteraceae;species;accepted;Baccharis tridentata;NA;NA;NA;Subshrub;Rupicolous|Terrestrial;Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
535;5260;Baccharis uncinella DC.;NA;Asteraceae;species;accepted;Baccharis uncinella;NA;NA;NA;Shrub;Rupicolous|Terrestrial;Campo de Altitude|Floresta Ombrofila Mista;alecrim/PORTUGUES/NA | alecrim-da-serra/PORTUGUES/NA | vassoura/PORTUGUES/NA | vassoura-lajeana/PORTUGUES/NA;BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Mata Atlantica;Endemic
537;12883;Bacopa congesta Chodat & Hassl.;NA;Plantaginaceae;species;accepted;Bacopa congesta;LC;NA;NA;Herb|Subshrub;Terrestrial;Campo Limpo|Cerrado (lato sensu);NA;BR-GO|BR-MG|BR-RJ|BR-RS|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
538;12886;Bacopa monnierioides (Cham.) B.L.Rob.;NA;Plantaginaceae;species;accepted;Bacopa monnierioides;NA;NA;NA;Herb;Terrestrial;Campo rupestre|Cerrado (lato sensu)|Floresta Ombrofila (= Floresta Pluvial)|Restinga;NA;BR-AC|BR-BA|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-RS|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
539;25964;Bacopa salzmannii (Benth.) Wettst. ex Edwall;NA;Plantaginaceae;species;accepted;Bacopa salzmannii;NA;NA;NA;Herb;Aquatica|Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta de Terra Firme|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Aquatica;NA;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PI|BR-PR|BR-RJ|BR-RR|BR-RS|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pantanal;Non Endemic
559;15113;Barbacenia tomentosa Mart.;NA;Velloziaceae;species;accepted;Barbacenia tomentosa;NA;NA;NA;Herb;Rupicolous;Campo de Altitude|Campo rupestre|Vegetacao Sobre Afloramentos Rochosos;NA;BR-DF|BR-ES|BR-MG|BR-SP;native;Cerrado|Mata Atlantica;Endemic
560;33026;Barbacenia luzulifolia Mart. ex Schult. & Schult.f.;NA;Velloziaceae;species;accepted;Barbacenia luzulifolia;NA;NA;NA;Herb;Rupicolous;Campo rupestre;NA;BR-MG;native;Cerrado;Endemic
563;4541;Barjonia erecta (Vell.) K.Schum.;NA;Apocynaceae;species;accepted;Barjonia erecta;LC;NA;NA;Subshrub;Terrestrial;Campo Limpo|Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
566;26879;Barrosoa betonicaeformis (DC.) R.M.King & H.Rob.;NA;Asteraceae;species;accepted;Barrosoa betonicaeformis;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo rupestre|Restinga;NA;BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
574;82684;Bauhinia rufa (Bong.) Steud.;NA;Fabaceae;species;accepted;Bauhinia rufa;NA;NA;NA;Shrub|Tree|Subshrub;NA;Campo rupestre|Cerrado (lato sensu);NA;BR-DF|BR-GO|BR-MG;native;Cerrado;Non Endemic
580;5597;Begonia cucullata Willd.;NA;Begoniaceae;species;accepted;Begonia cucullata;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
590;5703;Begonia reniformis Dryand.;NA;Begoniaceae;species;accepted;Begonia reniformis;NA;NA;NA;Subshrub;Rupicolous;Campo rupestre|Carrasco|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AL|BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-PB|BR-PE|BR-RJ|BR-SE|BR-SP;native;Caatinga|Cerrado|Mata Atlantica;Endemic
593;5742;Berberis laurina Billb.;NA;Berberidaceae;species;accepted;Berberis laurina;NA;NA;NA;Shrub|Tree;Terrestrial;Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista;espinho-de-sao-joao/PORTUGUES/Sul;BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Mata Atlantica|Pampa;Non Endemic
594;617935;Betencourtia scarlatina (Mart. ex Benth.) L.P.Queiroz;NA;Fabaceae;species;accepted;Betencourtia scarlatina;NA;NA;NA;Climber;Terrestrial;Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual;NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO;native;Caatinga|Cerrado|Mata Atlantica;Non Endemic
596;103776;Bidens flagellaris Baker;NA;Asteraceae;species;accepted;Bidens flagellaris;NA;NA;NA;Subshrub;Terrestrial;Campo Limpo|Cerrado (lato sensu);NA;BR-BA|BR-GO|BR-MG;native;Cerrado;Endemic
605;103750;Bidens subalternans DC.;NA;Asteraceae;species;accepted;Bidens subalternans;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo Limpo|Floresta Ciliar ou Galeria;picao/PORTUGUES/NA;BR-AM|BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
606;121971;Bidens urophylla Sherff;NA;Asteraceae;species;accepted;Bidens urophylla;NA;NA;NA;Shrub;Terrestrial;Campo rupestre|Vegetacao Sobre Afloramentos Rochosos;NA;BR-MG|BR-RJ;native;Cerrado|Mata Atlantica;Endemic
607;11192;Bifrenaria aureofulva (Hook.) Lindl.;NA;Orchidaceae;species;accepted;Bifrenaria aureofulva;LC;NA;NA;Herb;Epiphyte|Rupicolous;Campo rupestre|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial);NA;BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica;Endemic
608;11196;Bifrenaria harrisoniae (Hook.) Rchb.f.;NA;Orchidaceae;species;accepted;Bifrenaria harrisoniae;LC;NA;NA;Herb;Epiphyte|Rupicolous;Campo rupestre|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Mata Atlantica;Endemic
625;602583;Parablechnum cordatum (Desv.) Gasper & Salino;NA;Blechnaceae;species;accepted;Parablechnum cordatum;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial);NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
637;602593;Lomariocycas schomburgkii (Klotzsch) Gasper & A.R. Sm.;NA;Blechnaceae;species;accepted;Lomariocycas schomburgkii;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Cerrado (lato sensu)|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista;NA;BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Amazonia|Cerrado|Mata Atlantica|Pampa;Non Endemic
639;602584;Parablechnum usterianum (Christ) Gasper & Salino;NA;Blechnaceae;species;accepted;Parablechnum usterianum;NA;NA;NA;Herb;NA;Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista;NA;BR-MG|BR-PR|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Endemic
641;10262;Blepharocalyx salicifolius (Kunth) O.Berg;NA;Myrtaceae;species;accepted;Blepharocalyx salicifolius;LC;NA;NA;Shrub|Tree;Terrestrial;Area Antropica|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga;NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
643;4543;Blepharodon ampliflorum E.Fourn.;NA;Apocynaceae;species;accepted;Blepharodon ampliflorum;NA;NA;NA;Climber;Terrestrial;Campo Limpo|Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-MG|BR-PE|BR-PI|BR-PR|BR-SP;native;Caatinga|Cerrado|Mata Atlantica;Endemic
645;4545;Blepharodon lineare (Decne.) Decne.;NA;Apocynaceae;species;accepted;Blepharodon lineare;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;NA;BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP|BR-TO;native;Amazonia|Cerrado|Mata Atlantica|Pampa;Non Endemic
646;21897;Blepharodon pictum (Vahl) W.D.Stevens;NA;Apocynaceae;species;accepted;Blepharodon pictum;NA;NA;NA;Climber;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campinarana|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Igapo|Floresta de Terra Firme|Floresta Ombrofila (= Floresta Pluvial);NA;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
648;19979;Bletia catenulata Ruiz & Pav.;NA;Orchidaceae;species;accepted;Bletia catenulata;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-MT|BR-PI|BR-RJ|BR-SP|BR-TO;native;Amazonia|Cerrado|Mata Atlantica;Non Endemic
654;4300;Bomarea edulis (Tussac) Herb.;NA;Alstroemeriaceae;species;accepted;Bomarea edulis;NA;NA;NA;Climber;Terrestrial;Area Antropica|Campinarana|Campo rupestre|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Perenifolia|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga|Vegetacao Sobre Afloramentos Rochosos;bico-de-nambu/PORTUGUES/NA;BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pantanal;Non Endemic
655;28376;Bonamia sphaerocephala (Dammer) Ooststr.;NA;Convolvulaceae;species;accepted;Bonamia sphaerocephala;NA;NA;NA;Subshrub;Terrestrial;Campo Limpo|Cerrado (lato sensu);NA;BR-BA|BR-GO|BR-MG;native;Cerrado;Endemic
656;20691;Borreria alata (Aubl.) DC.;NA;Rubiaceae;species;accepted;Borreria alata;NA;NA;NA;Herb|Subshrub;Rupicolous|Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campinarana|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ombrofila (= Floresta Pluvial)|Restinga;NA;BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SC|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
658;20694;Borreria capitata (Ruiz & Pav.) DC.;NA;Rubiaceae;species;accepted;Borreria capitata;NA;NA;NA;Herb|Subshrub;Rupicolous|Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo de Altitude|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
662;20698;Borreria latifolia (Aubl.) K.Schum.;NA;Rubiaceae;species;accepted;Borreria latifolia;NA;NA;NA;Herb|Subshrub;Rupicolous|Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo de Altitude|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Restinga|Savana Amazonica|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
664;32539;Borreria poaya (A.St.-Hil.) DC.;NA;Rubiaceae;species;accepted;Borreria poaya;NA;NA;NA;Subshrub;Terrestrial;Campo Limpo|Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
669;123145;Borreria schumannii (Standl. ex Bacigalupo) E.L.Cabral & Sobrado;NA;Rubiaceae;species;accepted;Borreria schumannii;NA;NA;NA;Climber|Subshrub;Aquatica|Terrestrial;Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Palmeiral|Restinga|Vegetacao Aquatica;NA;BR-AM|BR-BA|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
671;26067;Borreria suaveolens G. Mey.;NA;Rubiaceae;species;accepted;Borreria suaveolens;NA;NA;NA;Subshrub;Rupicolous|Terrestrial;Campinarana|Campo de Varzea|Savana Amazonica|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AM|BR-AP|BR-PA|BR-RR;native;Amazonia;Non Endemic
672;32542;Borreria tenella (Kunth) Cham. & Schltdl.;NA;Rubiaceae;species;accepted;Borreria tenella;NA;NA;NA;Herb|Subshrub;Rupicolous|Terrestrial;Campo Limpo|Cerrado (lato sensu)|Savana Amazonica;NA;BR-AC|BR-BA|BR-CE|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
673;32604;Galianthe valerianoides (Cham. & Schltdl.) E.L.Cabral;NA;Rubiaceae;species;accepted;Galianthe valerianoides;NA;NA;NA;Herb|Subshrub;Terrestrial;Campo de Altitude|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;NA;BR-DF|BR-GO|BR-MG|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
674;20712;Borreria verticillata (L.) G.Mey.;NA;Rubiaceae;species;accepted;Borreria verticillata;NA;NA;NA;Subshrub;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campinarana|Campo Limpo|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila Mista|Restinga|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
675;32545;Borreria warmingii K.Schum.;NA;Rubiaceae;species;accepted;Borreria warmingii;NA;NA;NA;Subshrub;Terrestrial;Campo Limpo|Cerrado (lato sensu);NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-SP;native;Cerrado;Endemic
676;132004;Botrypus virginianus (L.) Michx.;NA;Ophioglossaceae;species;accepted;Botrypus virginianus;LC;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Vegetacao Sobre Afloramentos Rochosos;NA;BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Mata Atlantica;Non Endemic
683;37234;Brachystele camporum (Lindl.) Schltr.;NA;Orchidaceae;species;accepted;Brachystele camporum;VU;VU;VU;Herb;Terrestrial;Campo de Altitude;NA;BR-PR|BR-RS|BR-SC;native;Mata Atlantica;Non Endemic
684;11216;Brachystele subfiliformis (Cogn.) Schltr.;NA;Orchidaceae;species;accepted;Brachystele subfiliformis;NA;NA;NA;Herb;Terrestrial;Campo de Altitude;NA;BR-MG|BR-PR|BR-RS|BR-SC|BR-SP;native;Mata Atlantica;Endemic
689;11229;Brassavola flagellaris Barb.Rodr.;NA;Orchidaceae;species;accepted;Brassavola flagellaris;NA;NA;NA;Herb;Epiphyte|Rupicolous;Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial);NA;BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RO|BR-SP;native;Amazonia|Cerrado|Mata Atlantica;Endemic
693;95895;Breutelia microdonta (Mitt.) Broth.;NA;Bartramiaceae;species;accepted;Breutelia microdonta;NA;NA;NA;Tuft;Terrestrial;Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial);NA;BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;Mata Atlantica;Endemic
694;16274;Pseudobrickellia brasiliensis (Spreng.) R.M.King & H.Rob.;NA;Asteraceae;species;accepted;Pseudobrickellia brasiliensis;NA;NA;NA;Shrub|Subshrub;Terrestrial;Campinarana|Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PI|BR-RO|BR-SP|BR-TO;native;Amazonia|Cerrado;Endemic
701;14596;Brunfelsia brasiliensis (Spreng.) L.B.Sm. & Downs;NA;Solanaceae;species;accepted;Brunfelsia brasiliensis;NA;NA;NA;Shrub;Terrestrial;Campo de Altitude|Campo rupestre|Floresta Estacional Semidecidual|Floresta Ombrofila Mista;NA;BR-BA|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Endemic
706;95982;Bryum argenteum Hedw.;NA;Bryaceae;species;accepted;Bryum argenteum;NA;NA;NA;Tuft;Rupicolous|Terrestrial;Caatinga (stricto sensu)|Campo de Altitude|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AL|BR-AM|BR-BA|BR-ES|BR-MA|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
710;12416;Buchnera juncea Cham. & Schltdl.;NA;Orobanchaceae;species;accepted;Buchnera juncea;LC;NA;NA;Herb|Subshrub;Hemiparasita|Rupicolous|Terrestrial;Campo de Varzea|Campo Limpo|Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-SP;native;Caatinga|Cerrado|Mata Atlantica|Pantanal;Non Endemic
711;12417;Buchnera lavandulacea Cham. & Schltdl.;NA;Orobanchaceae;species;accepted;Buchnera lavandulacea;NA;NA;NA;Herb|Subshrub;Hemiparasita|Rupicolous|Terrestrial;Campo de Altitude|Campo de Varzea|Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RR|BR-SC|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pantanal;Non Endemic
712;12418;Buchnera longifolia Kunth;NA;Orobanchaceae;species;accepted;Buchnera longifolia;LC;NA;NA;Herb|Subshrub;Hemiparasita|Terrestrial;Campo de Altitude|Campo de Varzea|Campo Limpo|Campo rupestre;NA;BR-AC|BR-BA|BR-ES|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RR|BR-RS|BR-SC|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
713;12420;Buchnera ternifolia Kunth;NA;Orobanchaceae;species;accepted;Buchnera ternifolia;NA;NA;NA;Herb|Subshrub;Hemiparasita;Campo de Altitude|Campo Limpo|Cerrado (lato sensu);NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-SP;native;Cerrado|Mata Atlantica|Pantanal;Non Endemic
714;14530;Buddleja brachiata Cham. & Schltdl.;NA;Scrophulariaceae;species;accepted;Buddleja brachiata;NA;NA;NA;Shrub|Climber;Terrestrial;Campo de Altitude|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial);NA;BR-GO|BR-MG|BR-PR|BR-RJ|BR-SP;native;Cerrado|Mata Atlantica;Endemic
715;14541;Buddleja stachyoides Cham. & Schltdl.;NA;Scrophulariaceae;species;accepted;Buddleja stachyoides;NA;NA;NA;Shrub|Herb|Subshrub;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga;NA;BR-AL|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PB|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
717;127945;Buddleja elegans Cham. & Schltdl. subsp. elegans;NA;Scrophulariaceae;subspecies;accepted;Buddleja elegans subsp. elegans;NA;NA;NA;Shrub;Terrestrial;Campo de Altitude|Cerrado (lato sensu)|Floresta Ombrofila (= Floresta Pluvial);NA;BR-MG|BR-MS|BR-PR|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Endemic
718;14538;Buddleja oblonga Benth.;NA;Scrophulariaceae;species;accepted;Buddleja oblonga;NA;NA;NA;Shrub;Terrestrial;Campo de Altitude;NA;BR-MG|BR-PR|BR-RJ|BR-SP;native;Mata Atlantica;Endemic
722;11243;Bulbophyllum exaltatum Lindl.;NA;Orchidaceae;species;accepted;Bulbophyllum exaltatum;LC;NA;NA;Herb;Rupicolous;Campinarana|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-RJ|BR-RR|BR-SC|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
723;11245;Bulbophyllum gladiatum Lindl.;NA;Orchidaceae;species;accepted;Bulbophyllum gladiatum;LC;NA;NA;Herb;Epiphyte|Rupicolous;Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial);NA;BR-BA|BR-DF|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
