;id;scientific.name;accepted.name;family;taxon.rank;taxon.status;search.str;threat.status.cnc;threat.status.mma;threat.status.mma2022;life.form;habitat;vegetation.type;vernacular.name;occurrence;establishment;domain;endemism
4475;20640;Roupala montana var. paraensis (Sleumer) K.S.Edwards;NA;Proteaceae;variety;accepted;Roupala montana var. paraensis;NA;NA;NA;Shrub|Tree;Terrestrial;Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial);carne-de-vaca-amarela/PORTUGUES/NA | carne-de-vaca/PORTUGUES/NA | carvalho/PORTUGUES/NA;BR-BA|BR-MA|BR-MG|BR-PA|BR-PR|BR-RJ|BR-SC|BR-SP;native;Amazonia|Cerrado|Mata Atlantica;Endemic
4489;14263;Rudgea parquioides (Cham.) Mull.Arg.;NA;Rubiaceae;species;accepted;Rudgea parquioides;NA;NA;NA;Shrub|Subshrub;Terrestrial;Campo Limpo|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial);NA;BR-PR|BR-RS|BR-SC|BR-SP;native;Mata Atlantica|Pampa;Non Endemic
4492;4205;Ruellia geminiflora Kunth;NA;Acanthaceae;species;accepted;Ruellia geminiflora;NA;NA;NA;Subshrub;Terrestrial;Area Antropica|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Savana Amazonica;NA;BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
4499;134540;Rugoloa polygonata (Schrad.) Zuloaga;NA;Poaceae;species;accepted;Rugoloa polygonata;NA;NA;NA;Herb;Terrestrial;Campo de Varzea|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Varzea;NA;BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP;native;Amazonia|Cerrado|Mata Atlantica;Non Endemic
4500;91140;Rumohra adiantiformis (G.Forst.) Ching;NA;Dryopteridaceae;species;accepted;Rumohra adiantiformis;NA;NA;NA;Herb;Epiphyte|Rupicolous|Terrestrial;Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Vegetacao Sobre Afloramentos Rochosos;calaguala/ESPANHOL/Sul | samambaia-preta/PORTUGUES/Sul;BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-MG|BR-MS|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
4505;106093;Saccharum angustifolium (Nees) Trin.;NA;Poaceae;species;accepted;Saccharum angustifolium;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Restinga;NA;BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
4508;12182;Sacoila lanceolata (Aubl.) Garay;NA;Orchidaceae;species;accepted;Sacoila lanceolata;NA;NA;NA;Herb;Terrestrial;Area Antropica|Caatinga (stricto sensu)|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Palmeiral|Restinga|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AL|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
4511;8300;Salvia arenaria A.St.-Hil. ex Benth.;NA;Lamiaceae;species;accepted;Salvia arenaria;NA;NA;NA;Shrub|Subshrub;Terrestrial;Campo de Altitude|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista;NA;BR-ES|BR-MG|BR-RJ|BR-SP;native;Mata Atlantica;Endemic
4513;8347;Salvia scabrida Pohl;NA;Lamiaceae;species;accepted;Salvia scabrida;NA;NA;NA;Subshrub;Terrestrial;Area Antropica|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual;NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-SP|BR-TO;native;Cerrado|Mata Atlantica;Endemic
4514;8305;Salvia borjensis E.P.Santos;NA;Lamiaceae;species;accepted;Salvia borjensis;NA;NA;NA;Subshrub;Terrestrial;Campo Limpo|Floresta Ciliar ou Galeria;NA;BR-RS;native;Mata Atlantica|Pampa;Non Endemic
